"Helpful","Helpful"
"Unhelpful","Unhelpful"
"Your vote has been added","Your vote has been added"
"Your vote has been removed","Your vote has been removed"
"You changed your vote for this review","You changed your vote for this review"
"You must log in to vote","You must log in to vote"
"Voting is disabled","Voting is disabled"
"Something went wrong.","Something went wrong."
"Voting","Voting"
"Enabled","Enabled"
"Guest users are allowed to vote","Guest users are allowed to vote"
"Helpful","Helpful"
"Unhelpful","Unelpful"
"Voting block message","Voting block message"
"Helpful button label","Helpful button label"
"Unhelpful button label","Unhelpful button label"
"Alert title","Alert title"
"Alert timeout (in milliseconds)","Alert timeout (in milliseconds)"
